date,team,team_code,opponent,size,lineup,seconds,plus_minus,minutes,pm_per36
2026-07-24,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #66 GLENN COSEY,869,-6,14.48,-14.91
2026-07-24,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,925,-8,15.42,-18.68
2026-07-24,Diablos Rojos,DRM,AGS,3,#6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,585,-7,9.75,-25.85
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #66 GLENN COSEY,729,-2,12.15,-5.93
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,704,-5,11.73,-15.34
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,574,-5,9.57,-18.82
2026-07-24,Diablos Rojos,DRM,AGS,4,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,585,-7,9.75,-25.85
2026-07-24,Diablos Rojos,DRM,AGS,5,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,574,-5,9.57,-18.82
2026-07-24,Diablos Rojos,DRM,AGS,1,#10 BRUNO PEDRO,541,-8,9.02,-31.94
2026-07-24,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #24 MICHAEL CARRERA,524,-6,8.73,-24.73
2026-07-24,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #6 SANTIAGO SCALA,169,-4,2.82,-51.12
2026-07-24,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #66 GLENN COSEY,512,-8,8.53,-33.75
2026-07-24,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #9 THOMAS DRECHSEL,267,-5,4.45,-40.45
2026-07-24,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,169,-4,2.82,-51.12
2026-07-24,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY,495,-6,8.25,-26.18
2026-07-24,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,250,-3,4.17,-25.92
2026-07-24,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY,140,-4,2.33,-61.71
2026-07-24,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,40,-2,0.67,-108.0
