date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,1.88,-3,-57.45
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,1.88,-3,-57.45
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #66 GLENN COSEY,17.13,2,4.2
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #66 GLENN COSEY / #7 JOSE CRUZ,4.78,-1,-7.53
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY,9.8,7,25.71
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,2.33,-1,-15.45
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #66 GLENN COSEY,13.12,2,5.49
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #66 GLENN COSEY / #7 JOSE CRUZ,0.77,-1,-46.75
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA,10.23,4,14.08
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ,2.0,-3,-54.0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY,7.85,8,36.69
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY / #7 JOSE CRUZ,0.38,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1.13,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #21 PEDRO MENDOZA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1.13,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,7.47,8,38.55
